站点名称,街道地址,城市,州,邮编,站点状态代码,公共可达性分组,开放时间说明,二级充电桩数量,直流快充数量,充电网络,纬度,经度,最近确认日期,开放日期,连接器类型,访问代码,受限访问,EV价格说明
Cortland at Coalton,501 Summit Blvd.,Broomfield,CO,80021,E,Public,24 hours daily,2,,Blink Network,39.927312,-105.140196,2026-07-08,2022-06-23,J1772,public,false,Free
IKEA USA CENTENNIAL 3,9800 East IKEA Way,Centennial,CO,80112,E,Public,24 hours daily,1,,ChargePoint Network,39.571429,-104.874029,2026-07-08,2023-02-01,J1772,public,false,
IKEA USA CENTENNIAL 1,9800 East IKEA Way,Centennial,CO,80112,E,Public,24 hours daily,1,,ChargePoint Network,39.571485,-104.874025,2026-07-08,2023-02-01,J1772,public,false,
IKEA USA CENTENNIAL 2,9800 East IKEA Way,Centennial,CO,80112,E,Public,24 hours daily,1,,ChargePoint Network,39.571458,-104.874027,2026-07-08,2023-02-01,J1772,public,false,
MAVERIK DACONO PL2,127 Laura Way,Dacono,CO,80514,E,Public,24 hours daily,,1,ChargePoint Network,40.08689,-104.974714,2026-07-08,2023-02-02,CHADEMO J1772COMBO,public,false,
MAVERIK DACONO PL1,127 Laura Way,Dacono,CO,80514,E,Public,24 hours daily,,1,ChargePoint Network,40.086886,-104.974663,2026-07-08,2023-02-02,CHADEMO J1772COMBO,public,false,
BLUE RIVER EV BR 2,1291 Adams Ave,Silverthorne,CO,80498,E,Public,24 hours daily,2,,ChargePoint Network,39.64518,-106.08118,2026-07-08,2023-02-07,J1772,public,false,
DC CORRIDOR WHEAT RIDGE PL1,5071 Kipling Street,Wheat Ridge,CO,80033,E,Public,24 hours daily,,1,ChargePoint Network,39.787328,-105.112527,2026-07-08,2023-02-17,CHADEMO J1772COMBO,public,false,
DC CORRIDOR WHEAT RIDGE PL2,5071 Kipling Street,Wheat Ridge,CO,80033,E,Public,24 hours daily,,1,ChargePoint Network,39.787329,-105.112555,2026-07-08,2023-02-17,CHADEMO J1772COMBO,public,false,
DC CORRIDOR WHEAT RIDGE PL3,5071 Kipling Street,Wheat Ridge,CO,80033,E,Public,24 hours daily,,1,ChargePoint Network,39.787326,-105.112589,2026-07-08,2023-02-17,CHADEMO J1772COMBO,public,false,
DC CORRIDOR WHEAT RIDGE PL4,5071 Kipling Street,Wheat Ridge,CO,80033,E,Public,24 hours daily,,1,ChargePoint Network,39.787325,-105.112623,2026-07-08,2023-02-17,CHADEMO J1772COMBO,public,false,
BRECKENRIDGE GARAGE 13,80 North Park ave,Breckenridge,CO,80424,E,Public,24 hours daily,2,,ChargePoint Network,39.483409,-106.048651,2026-07-08,2023-02-17,J1772,public,false,
BRECKENRIDGE GARAGE 14,80 North Park Avenue,Breckenridge,CO,80424,E,Public,24 hours daily,2,,ChargePoint Network,39.483326,-106.047879,2026-07-08,2023-02-17,J1772,public,false,
LEGACY@FITZ STATION ST6,13253 E 13th Pl,Aurora,CO,80011,E,Public,24 hours daily,2,,ChargePoint Network,39.737583,-104.8338,2026-07-08,2023-02-17,J1772,public,false,
Shortline GMC,1301  Havana St,Aurora,CO,80012,E,Public,24 hours daily,5,2,EVGATEWAY,39.69309654179441,-104.86681431816017,2026-07-08,2022-08-10,J1772 J1772COMBO,public,false,
REDROCKS STORAGEAURORA,14909 E 14th Ave,Aurora,CO,80011,E,Public,24 hours daily,1,,ChargePoint Network,39.738501,-104.814246,2026-07-08,2023-02-20,J1772,public,false,
Five Points Parking Lot,2800 Welton St.,Denver,CO,80205,E,Public,24 hours daily,,4,eVgo Network,39.7556547,-104.9764837,2026-07-07,2023-02-21,CHADEMO J1772COMBO,public,false,
DC CORRIDOR ESTES PARK PL3,500 Big Thompson Avenue,Estes Park,CO,80517,E,Public,24 hours daily,,1,ChargePoint Network,40.378953,-105.513482,2026-07-08,2023-02-21,CHADEMO J1772COMBO,public,false,
DC CORRIDOR ESTES PARK PL4,500 Big Thompson Avenue,Estes Park,CO,80517,E,Public,24 hours daily,,1,ChargePoint Network,40.378949,-105.513439,2026-07-08,2023-02-21,CHADEMO J1772COMBO,public,false,
BRECK BREWERY BRECKBREW1,2990 Brewery Ln,Littleton,CO,80120,E,Public,24 hours daily,2,,ChargePoint Network,39.594128,-105.024661,2026-07-08,2023-02-23,J1772,public,false,
Natural Grocers CT,3165 Central Park Boulevard,Denver,CO,80238,E,Public,24 hours daily,8,,Blink Network,39.7613603,-104.8911038,2026-07-08,2022-06-27,J1772,public,false,
The Madison Apartments-Clubhouse,1250 Sweet Spring Circle,Castle Pines,CO,80108,E,Public,24 hours daily,4,,Blink Network,39.4656806,-104.8627196,2026-07-08,2022-01-11,J1772,public,false,
Smoky Hill Library,5430 South Biscay Circle,Centennial,CO,80015,E,Public,24 hours daily,4,,Blink Network,39.6178651,-104.7673627,2026-07-08,2022-09-28,J1772,public,false,
MIREMONTE CADENCE 1,2555 Joseph Allen Dr,Fort Collins,CO,80525,E,Public,24 hours daily,2,,ChargePoint Network,40.55326,-105.041936,2026-07-08,2023-02-28,J1772,public,false,
GARAGE LEVEL 13 STATION 3,1144 15th St,Denver,CO,80202,E,Public,24 hours daily,1,,ChargePoint Network,39.747361,-104.997569,2026-07-08,2023-03-06,J1772,public,false,
GARAGE LEVEL 13 SATION 2,1144 15th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.746912,-104.997952,2026-07-08,2023-03-06,J1772,public,false,
GARAGE LEVEL 13 STATION 1,1144 15th St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.74739,-104.997623,2026-07-08,2023-03-06,J1772,public,false,
BRIGHTON CO CITY HALL,500 S 4th Ave,Brighton,CO,80601,E,Public,24 hours daily,2,,ChargePoint Network,39.979096,-104.817447,2026-07-08,2023-03-07,J1772,public,false,
DC CORRIDOR ESTES PARK PL1,500 Big Thompson Avenue,Estes Park,CO,80517,E,Public,24 hours daily,,1,ChargePoint Network,40.378967,-105.513453,2026-07-08,2023-03-07,CHADEMO J1772COMBO,public,false,
WESTMINSTER PINNACLE 1,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.891716,-105.066119,2026-07-08,2023-03-09,J1772,public,false,
WESTMINSTER PINNACLE 4,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.891715,-105.066105,2026-07-08,2023-03-09,J1772,public,false,
WESTMINSTER PINNACLE 2,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.89172,-105.066127,2026-07-08,2023-03-09,J1772,public,false,
WESTMINSTER PINNACLE 6,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.891713,-105.066133,2026-07-08,2023-03-09,J1772,public,false,
WESTMINSTER PINNACLE PROPER,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.891716,-105.066092,2026-07-08,2023-03-09,J1772,public,false,
WESTMINSTER PINNACLE 3,6250 Promenade Dr N,Westminster,CO,80020,E,Public,24 hours daily,2,,ChargePoint Network,39.891707,-105.066123,2026-07-08,2023-03-09,J1772,public,false,
UNIV OF DENVER STURM HALL 1,2032-2054 S Race St,Denver,CO,80210,E,Public,24 hours daily,1,,ChargePoint Network,39.679949,-104.964026,2026-07-08,2023-03-11,J1772,public,false,
COPPER VILLAGE CLUBHOUSE 1,615 Balanced Rock Way,Grand Junction,CO,81505,E,Public,24 hours daily,2,,ChargePoint Network,39.094103,-108.598152,2026-07-08,2023-03-11,J1772,public,false,
COPPER VILLAGE CLUBHOUSE 2,615 Balanced Rock Way,Grand Junction,CO,81505,E,Public,24 hours daily,2,,ChargePoint Network,39.09412,-108.598152,2026-07-08,2023-03-11,J1772,public,false,
COPPER VILLAGE SOUTH ENTRANCE,624 24 1/2 Rd,Grand Junction,CO,81505,E,Public,24 hours daily,2,,ChargePoint Network,39.094322,-108.598114,2026-07-08,2023-03-14,J1772,public,false,
COPPER VILLAGE SE ENTRANCE,624 24 1/2 Rd,Grand Junction,CO,81505,E,Public,24 hours daily,2,,ChargePoint Network,39.09449,-108.59827,2026-07-08,2023-03-14,J1772,public,false,
XROADSHYUNDAI HYUNDAI EAST ST,3870 Byrd Dr,Loveland,CO,80538,E,Public,24 hours daily,,1,ChargePoint Network,40.431229,-104.994976,2026-07-08,2023-03-17,CHADEMO J1772COMBO,public,false,
DC CORRIDOR ESTES PARK PL2,500 Big Thompson Avenue,Estes Park,CO,80517,E,Public,24 hours daily,,1,ChargePoint Network,40.378933,-105.513467,2026-07-08,2023-03-17,CHADEMO J1772COMBO,public,false,
XROADSHYUNDAI WEST,3870 Byrd Dr,Loveland,CO,80538,E,Public,24 hours daily,,1,ChargePoint Network,40.431697,-104.994748,2026-07-08,2023-03-23,CHADEMO J1772COMBO,public,false,
BRECK BREWERY BRECKBREW2,2990 Brewery Ln,Littleton,CO,80120,E,Public,24 hours daily,2,,ChargePoint Network,39.594122,-105.024588,2026-07-08,2023-03-23,J1772,public,false,
BRECK BREWERY BRECKBREW3,2990 Brewery Ln,Littleton,CO,80120,E,Public,24 hours daily,2,,ChargePoint Network,39.594125,-105.024524,2026-07-08,2023-03-23,J1772,public,false,
CCD CHARGING GVR,4856 Andes Ct,Denver,CO,80249,E,Public,Mon: 7:00am-9:00pm; Tue: 7:00am-9:00pm; Wed: 7:00am-9:00pm; Thu: 7:00am-9:00pm; Fri: 7:00am-9:00pm; Sat: 7:00am-9:00pm; Sun: 7:00am-9:00pm,2,,ChargePoint Network,39.78498,-104.766953,2026-07-08,2023-03-25,J1772,public,false,
CCD CHARGING FORD WARREN,2825 High St,Denver,CO,80205,E,Public,24 hours daily,2,,ChargePoint Network,39.757557,-104.965052,2026-07-08,2023-03-25,J1772,public,false,
HION NETWORK CANON CITY PL1,403 Royal Gorge Boulevard,Cañon City,CO,81212,E,Public,24 hours daily,,1,ChargePoint Network,38.439738,-105.240972,2026-07-08,2023-03-26,CHADEMO J1772COMBO,public,false,
HION NETWORK CANON CITY PL2,403 Royal Gorge Boulevard,Cañon City,CO,81212,E,Public,24 hours daily,,1,ChargePoint Network,38.439722,-105.241016,2026-07-08,2023-03-26,CHADEMO J1772COMBO,public,false,
WENDY'S #13467 WENDY'S #13467,9111 E 40th Ave,Denver,CO,80238,E,Public,24 hours daily,1,,ChargePoint Network,39.77492,-104.881822,2026-07-08,2023-03-29,J1772,public,false,
DC CORRIDOR FAIRPLAY PL1,901 Main Street,Fairplay,CO,80440,E,Public,24 hours daily,,1,ChargePoint Network,39.221481,-105.997568,2026-07-08,2023-03-29,CHADEMO J1772COMBO,public,false,
DC CORRIDOR FAIRPLAY PL2,901 Main Street,Fairplay,CO,80440,E,Public,24 hours daily,,1,ChargePoint Network,39.221476,-105.997534,2026-07-08,2023-03-29,CHADEMO J1772COMBO,public,false,
"Bridgestone Retail Operations, LLC - Denver, CO",2996 West 104th Avenue,Denver,CO,80234,E,Public,24 hours daily,2,,Blink Network,39.884558,-105.022153,2026-07-08,2022-12-21,J1772,public,false,
Parker Crossroads Shopping Center,10831 Crossroads Dr,Parker,CO,80134,E,Public,24 hours daily,,4,eVgo Network,39.52043,-104.76689,2026-07-07,2023-03-31,CHADEMO J1772COMBO,public,false,
CENTENNIAL PARK PAGOSA SPGS PL1,80 South 5th Street,Pagosa Springs,CO,81147,E,Public,24 hours daily,,1,ChargePoint Network,37.265635,-107.012042,2026-07-08,2023-04-01,CHADEMO J1772COMBO,public,false,
CENTENNIAL PARK PAGOSA SPGS PL2,80 South 5th Street,Pagosa Springs,CO,81147,E,Public,24 hours daily,,1,ChargePoint Network,37.265636,-107.011993,2026-07-08,2023-04-01,J1772COMBO TESLA,public,false,
EVERLEIGH EVERLEIGH,2980 Syracuse St,Denver,CO,80238,E,Public,24 hours daily,2,,ChargePoint Network,39.759807,-104.897199,2026-07-08,2023-04-04,J1772,public,false,
The Exchange at Boulevard One,44 Pontiac St,Denver,CO,80230,E,Public,24 hours daily,8,,Blink Network,39.7179343,-104.9056884,2026-07-08,2020-03-24,J1772,public,false,
The Exchange at Boulevard One - Lower Level Garage,44 Pontiac St,Denver,CO,80230,E,Public,24 hours daily,2,,Blink Network,39.71767003,-104.9047335,2026-07-08,2020-03-24,J1772,public,false,
Villas at Pony Tracks,3790 Pony Tracks Drive,Colorado Springs,CO,80922,E,Public,24 hours daily,2,,Blink Network,38.8854225,-104.7058638,2026-07-08,2022-11-14,J1772,public,false,
PUEBLO CC PUEBLO 3,51320 US-50,Cañon City,CO,81212,E,Public,24 hours daily,2,,ChargePoint Network,38.442404,-105.255778,2026-07-08,2023-04-11,J1772,public,false,
ES1 SALIDA PL1,1 County Road 105,Salida,CO,81201,E,Public,24 hours daily,,1,ChargePoint Network,38.523482,-105.983897,2026-07-08,2023-04-12,J1772COMBO TESLA,public,false,
ES1 SALIDA PL2,1 County Road 105,Salida,CO,81201,E,Public,24 hours daily,,1,ChargePoint Network,38.523504,-105.98391,2026-07-08,2023-04-12,CHADEMO J1772COMBO,public,false,
ST. MARY-CORWIN STATION 1,1902 E Orman Ave,Pueblo,CO,81004,E,Public,24 hours daily,2,,ChargePoint Network,38.234362,-104.620225,2026-07-08,2023-04-13,J1772,public,false,
ST. MARY-CORWIN STATION 2,1902 E Orman Ave,Pueblo,CO,81004,E,Public,24 hours daily,2,,ChargePoint Network,38.23436,-104.620174,2026-07-08,2023-04-13,J1772,public,false,
ST. MARY-CORWIN STATION 3,1902 E Orman Ave,Pueblo,CO,81004,E,Public,24 hours daily,2,,ChargePoint Network,38.234358,-104.620119,2026-07-08,2023-04-13,J1772,public,false,
CITY OF ASPEN YELLOW BRICK,100 W Bleeker St,Aspen,CO,81611,E,Public,24 hours daily,1,,ChargePoint Network,39.192367,-106.822555,2026-07-08,2023-04-14,J1772,public,false,
VOLVO CAR USA GW SPRINGS PL2,2115 Grand Avenue,Glenwood Springs,CO,81601,E,Public,24 hours daily,,1,ChargePoint Network,39.531081,-107.326016,2026-07-08,2023-04-19,CHADEMO J1772COMBO,public,false,
VOLVO CAR USA GW SPRINGS PL1,2115 Grand Avenue,Glenwood Springs,CO,81601,E,Public,24 hours daily,,1,ChargePoint Network,39.531081,-107.325973,2026-07-08,2023-04-19,CHADEMO J1772COMBO,public,false,
1101 STATIONS 1101 S1 CT4020,1101 Motor City Dr,Colorado Springs,CO,80905,E,Public,24 hours daily,2,,ChargePoint Network,38.819206,-104.835785,2026-07-08,2023-04-20,J1772,public,false,
1101 STATIONS 1101 S2 CT4020,1101 Motor City Dr,Colorado Springs,CO,80905,E,Public,24 hours daily,2,,ChargePoint Network,38.819174,-104.835739,2026-07-08,2023-04-20,J1772,public,false,
VOLVO CAR USA GW SPRINGS PL3,2115 Grand Avenue,Glenwood Springs,CO,81601,E,Public,24 hours daily,,1,ChargePoint Network,39.531083,-107.325927,2026-07-08,2023-04-20,CHADEMO J1772COMBO,public,false,
VOLVO CAR USA GW SPRINGS PL4,2115 Grand Avenue,Glenwood Springs,CO,81601,E,Public,24 hours daily,,1,ChargePoint Network,39.531084,-107.325916,2026-07-08,2023-04-20,CHADEMO J1772COMBO,public,false,
"Colorado Springs, CO - Forest Bluffs - Tesla Supercharger",9258-9288 Forest Bluffs,Colorado Springs,CO,80920,E,Public,24 hours daily. NACS partner enabled.,,16,Tesla,38.965713,-104.785245,2026-06-18,2023-04-07,TESLA,public,false,
CITY OF DURANGO TC-DCFC-1,250 W 8th St,Durango,CO,81301,E,Public,24 hours daily,,1,ChargePoint Network,37.272393,-107.883261,2026-07-08,2023-04-22,CHADEMO J1772COMBO,public,false,
CITY OF DURANGO TC-DCFC-2,250 W 8th St,Durango,CO,81301,E,Public,24 hours daily,,1,ChargePoint Network,37.272367,-107.883272,2026-07-08,2023-04-22,CHADEMO J1772COMBO,public,false,
MAVERIK GRANBY PL2,308 West Agate Avenue,Granby,CO,80446,E,Public,24 hours daily,,1,ChargePoint Network,40.085786,-105.94739,2026-07-08,2023-04-22,CHADEMO J1772COMBO,public,false,
MAVERIK GRANBY PL1,308 West Agate Avenue,Granby,CO,80446,E,Public,24 hours daily,,1,ChargePoint Network,40.085915,-105.946739,2026-07-08,2023-04-22,CHADEMO J1772COMBO,public,false,
ECG EAGLE RVR CTR,971-1097 Fairgrounds Rd,Eagle,CO,81631,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,39.652163,-106.839529,2026-07-08,2023-04-25,J1772,public,false,
HION NETWORK ALAMOSA PL1,610 State Avenue,Alamosa,CO,81101,E,Public,24 hours daily,,1,ChargePoint Network,37.466812,-105.86474,2026-07-08,2023-04-25,CHADEMO J1772COMBO,public,false,
HION NETWORK ALAMOSA PL2,610 State Avenue,Alamosa,CO,81101,E,Public,24 hours daily,,1,ChargePoint Network,37.466813,-105.86472,2026-07-08,2023-04-25,CHADEMO J1772COMBO,public,false,
ECG ANIMAL SHELTER,1400 Fairgrounds Rd,Eagle,CO,81631,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,39.652202,-106.848338,2026-07-08,2023-04-25,J1772,public,false,
MONTROSE EV 1 MONTROSE PL1,533 N 1st St,Montrose,CO,81401,E,Public,24 hours daily,,1,ChargePoint Network,38.481523,-107.876459,2026-07-08,2023-04-27,CHADEMO J1772COMBO,public,false,
MONTROSE EV 1 MONTROSE PL2,533 N 1st St,Montrose,CO,81401,E,Public,24 hours daily,,1,ChargePoint Network,38.481458,-107.876442,2026-07-08,2023-04-27,CHADEMO J1772COMBO,public,false,
7Charge - Fort Lupton 41743,641 14th St,Fort Lupton,CO,80621,E,Public,24 hours daily,,2,7CHARGE,40.09481,-104.8112,2026-02-13,2022-06-22,CHADEMO J1772COMBO,public,false,Please download 7Charge app for current pricing.
7Charge - Louisville 41348,1360 S 96th St,Louisville,CO,80027,E,Public,24 hours daily,,4,7CHARGE,39.9620430484017,-105.127462186508,2026-02-13,2022-10-27,J1772COMBO TESLA,public,false,Please download 7Charge app for current pricing.
CARBONDALE CP HAYDEN PLACE 1,920 CO-133,Carbondale,CO,81623,E,Public,24 hours daily,2,,ChargePoint Network,39.402348,-107.220189,2026-07-08,2023-04-28,J1772,public,false,
CARBONDALE CP HAYDEN PLACE 2,924 CO-133,Carbondale,CO,81623,E,Public,24 hours daily,2,,ChargePoint Network,39.402324,-107.220125,2026-07-08,2023-04-28,J1772,public,false,
HION NETWORK OURAY PL2,1230 Main Street,Ouray,CO,81427,E,Public,24 hours daily,,1,ChargePoint Network,38.029535,-107.67348,2026-07-08,2023-04-28,CHADEMO J1772COMBO,public,false,
HION NETWORK OURAY PL1,1230 Main Street,Ouray,CO,81427,E,Public,24 hours daily,,1,ChargePoint Network,38.029541,-107.673453,2026-07-08,2023-04-28,CHADEMO J1772COMBO,public,false,
In-N-Out Denver-- 4597 N. Central park blvd,4597 Central Park Blvd,Denver,CO,80238,E,Public,24 hours daily,,4,eVgo Network,39.77968,-104.88333,2026-07-07,2023-04-28,CHADEMO J1772COMBO,public,false,
T. ROWE PRICE CP CO GARAGE 1,2260 Briargate Pkwy,Colorado Springs,CO,80920,E,Public,24 hours daily,2,,ChargePoint Network,38.969174,-104.786406,2026-07-08,2023-04-30,J1772,public,false,
T. ROWE PRICE CP CO GARAGE 2,2220 Briargate Pkwy,Colorado Springs,CO,80920,E,Public,24 hours daily,2,,ChargePoint Network,38.967297,-104.785841,2026-07-08,2023-04-30,J1772,public,false,
GR-UNIONSTATION STATION 1,2905 Inca St,Denver,CO,80202,E,Public,24 hours daily,2,,ChargePoint Network,39.75869,-104.998933,2026-07-08,2023-05-02,J1772,public,false,
GPM INVESTMENTS 4590 DC2,8105 N Academy Blvd,Colorado Springs,CO,80920,E,Public,Mon: 12:00am-11:59pm; Tue: 12:00am-11:59pm; Wed: 12:00am-11:59pm; Thu: 12:00am-11:59pm; Fri: 12:00am-11:59pm; Sat: 12:00am-11:59pm; Sun: 12:00am-11:59pm,,1,ChargePoint Network,38.949233,-104.803144,2026-07-08,2023-05-02,CHADEMO J1772COMBO,public,false,
GPM INVESTMENTS 4590 DC1,8105 N Academy Blvd,Colorado Springs,CO,80920,E,Public,Mon: 12:00am-11:59pm; Tue: 12:00am-11:59pm; Wed: 12:00am-11:59pm; Thu: 12:00am-11:59pm; Fri: 12:00am-11:59pm; Sat: 12:00am-11:59pm; Sun: 12:00am-11:59pm,,1,ChargePoint Network,38.94922,-104.80317,2026-07-08,2023-05-02,CHADEMO J1772COMBO,public,false,
MOFFAT COUNTY MC COURTHOUSE 1,1198 W Victory Way,Craig,CO,81625,E,Public,24 hours daily,2,,ChargePoint Network,40.511856,-107.560316,2026-07-08,2023-05-03,J1772,public,false,
"CircleK - Colorado City, CO",8950 S I-25,Colorado City,CO,81004,E,Public - Credit card at all times,24 hours daily,,8,CIRCLE_K,37.9614,-104.79417,2026-01-13,2023-05-03,CHADEMO J1772COMBO,public,false,
ST. AIDANS PARK AIDAN 1,2425 Colorado Ave,Boulder,CO,80302,E,Public,24 hours daily,2,,ChargePoint Network,40.008561,-105.26323,2026-07-08,2023-05-04,J1772,public,false,
ST. AIDANS PARK AIDAN 2,2425 Colorado Avenue,Boulder,CO,80302,E,Public,24 hours daily,2,,ChargePoint Network,40.008566,-105.263193,2026-07-08,2023-05-04,J1772,public,false,
High School Staff Parking Lot,8773 South Ridgeline Boulevard,Highlands Ranch,CO,80129,E,Public,24 hours daily,2,,Blink Network,39.5558704,-104.9973614,2026-07-08,2022-11-10,J1772,public,false,
4184 St Cloud Dr,4184 St Cloud Dr,Loveland,CO,80538,E,Public,24 hours daily,4,,Blink Network,40.4353014,-104.9835295,2026-07-08,2022-11-16,J1772,public,false,
CBA LONGMONT CBA LONGMONT,110 E Ken Pratt Blvd,Longmont,CO,80501,E,Public,24 hours daily,2,,ChargePoint Network,40.153552,-105.091693,2026-07-08,2023-05-06,J1772,public,false,
CITY OF ASPEN RIO GRANDE DCFC,427 Rio Grande Pl,Aspen,CO,81611,E,Public,24 hours daily,,1,ChargePoint Network,39.191432,-106.817755,2026-07-08,2023-05-06,CHADEMO J1772COMBO,public,false,
All Copy Products,1635 W. 13th Ave.,Denver,CO,80204,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,Blink Network,39.7373206,-105.0087342,2026-07-08,2022-11-01,J1772,public,false,
ALOHA DIVIDE I CHARGE YOU,11027 US-24,Divide,CO,80814,E,Public,24 hours daily,,1,ChargePoint Network,38.941731,-105.158417,2026-07-08,2023-05-09,CHADEMO J1772COMBO,public,false,
"ALOHA DIVIDE I CHARGE, TOO",11027 US-24,Divide,CO,80814,E,Public,24 hours daily,,1,ChargePoint Network,38.941759,-105.158419,2026-07-08,2023-05-09,CHADEMO J1772COMBO,public,false,
BCHHSS KESTREL N1,1115 Hecla Dr,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.990093,-105.130068,2026-07-08,2023-05-09,J1772,public,false,
ANNEX SITE GEORGETOWN PL4,1120 Argentine St,Georgetown,CO,80444,E,Public,24 hours daily,,1,ChargePoint Network,39.711727,-105.695703,2026-07-08,2023-05-11,CHADEMO J1772COMBO,public,false,
ANNEX SITE GEORGETOWN PL1,1120 Argentine St,Georgetown,CO,80444,E,Public,24 hours daily,,1,ChargePoint Network,39.71184,-105.695664,2026-07-08,2023-05-11,CHADEMO J1772COMBO,public,false,
ANNEX SITE GEORGETOWN PL2,1120 Argentine St,Georgetown,CO,80444,E,Public,24 hours daily,,1,ChargePoint Network,39.711815,-105.695674,2026-07-08,2023-05-11,CHADEMO J1772COMBO,public,false,
ANNEX SITE GEORGETOWN PL3,1120 Argentine St,Georgetown,CO,80444,E,Public,24 hours daily,,1,ChargePoint Network,39.7118,-105.695674,2026-07-08,2023-05-11,CHADEMO J1772COMBO,public,false,
VAIL PARKING RED SANDSTONE 2,551 N Frontage Rd W,Vail,CO,81657,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2,,ChargePoint Network,39.646049,-106.389911,2026-07-08,2023-05-12,J1772,public,false,
MOFFAT COUNTY DINOSAUR PL1,101 Stegosaurus Freeway,Dinosaur,CO,81610,E,Public,24 hours daily,,1,ChargePoint Network,40.245225,-109.008935,2026-07-08,2023-05-12,CHADEMO J1772COMBO,public,false,
Firestone Complete Auto Care - Parker,10501 South Parker Road,Parker,CO,80134,E,Public,24 hours daily,2,,Blink Network,39.525882,-104.766813,2026-07-08,2023-03-29,J1772,public,false,
ALMEIDA & BELL STATION 1,9126 E 57th Pl,Denver,CO,80238,E,Public,24 hours daily,2,,ChargePoint Network,39.799676,-104.882997,2026-07-08,2023-05-13,J1772,public,false,
BOULDER COUNTY SE HUB PUBLIC,1755 S Public Rd,Lafayette,CO,80026,E,Public,24 hours daily,2,,ChargePoint Network,39.981828,-105.091471,2026-07-08,2023-05-16,J1772,public,false,
MAVERIK RIFLE PL1,705 Taugenbaugh Boulevard,Rifle,CO,81650,E,Public,24 hours daily,,1,ChargePoint Network,39.522277,-107.777699,2026-07-08,2023-05-17,CHADEMO J1772COMBO,public,false,
MAVERIK RIFLE PL2,705 Taugenbaugh Boulevard,Rifle,CO,81650,E,Public,24 hours daily,,1,ChargePoint Network,39.522246,-107.777691,2026-07-08,2023-05-17,CHADEMO J1772COMBO,public,false,
MAVERIK RIFLE PL3,705 Taugenbaugh Boulevard,Rifle,CO,81650,E,Public,24 hours daily,,1,ChargePoint Network,39.522221,-107.777696,2026-07-08,2023-05-17,CHADEMO J1772COMBO,public,false,
MAVERIK RIFLE PL4,705 Taugenbaugh Boulevard,Rifle,CO,81650,E,Public,24 hours daily,,1,ChargePoint Network,39.522197,-107.777683,2026-07-08,2023-05-17,CHADEMO J1772COMBO,public,false,
Rustic Rook Resort,13254 Lane 5 North,Mosca,CO,81146,E,Public,Mon: 9:00am-8:00pm; Tue: 9:00am-8:00pm; Wed: 9:00am-8:00pm; Thu: 9:00am-9:00pm; Fri: 9:00am-9:00pm; Sat: 9:00am-9:00pm; Sun: 9:00am-9:00pm,2,,EV Connect,37.648663,-105.797603,2026-07-07,2023-05-23,J1772,public,false,
MAVERIK SB SPRINGS PL1,80 Anglers Drive,Steamboat Springs,CO,80487,E,Public,24 hours daily,,1,ChargePoint Network,40.468088,-106.827517,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
MAVERIK SB SPRINGS PL2,80 Anglers Drive,Steamboat Springs,CO,80487,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,1,ChargePoint Network,40.468075,-106.82755,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
CSG EV BOULDER PL1,1500 Pearl St,Boulder,CO,80302,E,Public,24 hours daily,,1,ChargePoint Network,40.018617,-105.274839,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
CSG EV BOULDER PL2,1500 Pearl St,Boulder,CO,80302,E,Public,24 hours daily,,1,ChargePoint Network,40.018602,-105.274835,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
CSG EV BOULDER PL3,1500 Pearl St,Boulder,CO,80302,E,Public,24 hours daily,,1,ChargePoint Network,40.018594,-105.274834,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
CSG EV BOULDER PL4,1500 Pearl St,Boulder,CO,80302,E,Public,24 hours daily,,1,ChargePoint Network,40.018589,-105.274827,2026-07-08,2023-05-24,CHADEMO J1772COMBO,public,false,
BCHHSS KESTREL SW1,1150 S Kestrel Ln,Louisville,CO,80027,E,Public,24 hours daily,2,,ChargePoint Network,39.989166,-105.130038,2026-07-08,2023-05-24,J1772,public,false,
